,link,price
213,https://www.ikea.com/sa/en/p/trofast-frame-light-white-stained-pine-10308693/,0
214,https://www.ikea.com/sa/en/p/tosteroe-cover-for-outdoor-furniture-sofa-black-20532309/,SR250
215,https://www.ikea.com/sa/en/p/billy-extra-shelf-white-10265293/,30.0
216,https://www.ikea.com/sa/en/p/billsbro-handle-white-20334314/,15.0
217,https://www.ikea.com/sa/en/p/lack-wall-shelf-white-50282177/,19.0
218,https://www.ikea.com/sa/en/p/foerhoeja-kitchen-trolley-birch-80035920/,645.0
219,https://www.ikea.com/sa/en/p/melltorp-nilsove-table-and-2-chairs-white-rattan-white-s29297294/,889.0
220,https://www.ikea.com/sa/en/p/bosnaes-footstool-with-storage-ransta-black-40266682/,95.0
221,https://www.ikea.com/sa/en/p/sniglar-changing-table-beech-white-20045205/,145.0
222,https://www.ikea.com/sa/en/p/marius-stool-black-10135659/,25.0
223,https://www.ikea.com/sa/en/p/froesoen-cover-for-seat-cushion-outdoor-dark-grey-40391718/,65.0
224,https://www.ikea.com/sa/en/p/krokholmen-coffee-table-outdoor-beige-80336466/,175.0
225,https://www.ikea.com/sa/en/p/trofast-shelf-light-white-stained-pine-pine-80308699/,55.0
226,https://www.ikea.com/sa/en/p/gubbarp-knob-white-80336433/,3.0
227,https://www.ikea.com/sa/en/p/nordviken-norraryd-table-and-4-chairs-white-black-s89305173/,2535.0
228,https://www.ikea.com/sa/en/p/sandared-pouffe-beige-00385314/,245.0
229,https://www.ikea.com/sa/en/p/gjoera-bed-frame-birch-leirsund-s79129986/,1640.0
230,https://www.ikea.com/sa/en/p/groenlid-cover-for-corner-section-inseros-white-20396260/,170.0
231,https://www.ikea.com/sa/en/p/gladom-tray-table-black-50411990/,59.0
232,https://www.ikea.com/sa/en/p/eneryda-knob-brass-colour-60347507/,35.0
233,https://www.ikea.com/sa/en/p/mossaryd-drop-handle-stainless-steel-colour-70370352/,29.0
234,https://www.ikea.com/sa/en/p/ekedalen-bar-table-white-00340759/,995.0
235,https://www.ikea.com/sa/en/p/slattum-upholstered-bed-frame-knisa-light-grey-30446373/,595.0
236,https://www.ikea.com/sa/en/p/moerbylanga-tossberg-table-and-6-armchairs-oak-veneer-brown-stained-metal-grey-s79288032/,5465.0
237,https://www.ikea.com/sa/en/p/tosteroe-parasol-cover-black-00324561/,79.0
238,https://www.ikea.com/sa/en/p/ekedalen-ekedalen-table-and-6-chairs-dark-brown-orrsta-light-grey-s39279567/,2345.0
239,https://www.ikea.com/sa/en/p/ekedalen-ekedalen-table-and-6-chairs-white-orrsta-light-grey-s19221351/,2345.0
240,https://www.ikea.com/sa/en/p/antilop-highchair-tray-white-40076093/,25.0
241,https://www.ikea.com/sa/en/p/ikea-ps-2012-janinge-table-and-4-chairs-bamboo-white-s69161482/,1795.0
242,https://www.ikea.com/sa/en/p/nordviken-norraryd-table-and-4-chairs-white-black-s69305174/,2535.0
243,https://www.ikea.com/sa/en/p/pax-corner-wardrobe-white-grimo-white-s39218512/,1410.0
244,https://www.ikea.com/sa/en/p/vitval-bunk-bed-frame-white-light-grey-80411272/,1295.0
245,https://www.ikea.com/sa/en/p/marius-stool-white-90184047/,25.0
246,https://www.ikea.com/sa/en/p/norraker-roenninge-table-and-4-chairs-birch-birch-s89297229/,1976.0
247,https://www.ikea.com/sa/en/p/trofast-storage-box-white-80089239/,10.0
248,https://www.ikea.com/sa/en/p/kallroer-handle-stainless-steel-10357004/,35.0
249,https://www.ikea.com/sa/en/p/bolmen-step-stool-white-60265163/,22.0
250,https://www.ikea.com/sa/en/p/rimforsa-work-bench-stainless-steel-bamboo-90399284/,1995.0
251,https://www.ikea.com/sa/en/p/fanbyn-chair-s49228474/,275.0
252,https://www.ikea.com/sa/en/p/norraker-bench-birch-60428990/,295.0
253,https://www.ikea.com/sa/en/p/slaekt-pouffe-mattress-foldable-10362963/,425.0
254,https://www.ikea.com/sa/en/p/billsbro-handle-white-50334317/,45.0
255,https://www.ikea.com/sa/en/p/bagganaes-knob-brass-colour-00338412/,27.0
256,https://www.ikea.com/sa/en/p/kullaberg-swivel-chair-black-90325518/,220.0
257,https://www.ikea.com/sa/en/p/ekedalen-odger-table-and-4-chairs-brown-white-beige-s69221438/,1975.0
258,https://www.ikea.com/sa/en/p/holmsund-cover-for-corner-sofa-bed-orrsta-light-white-grey-20387939/,550.0
259,https://www.ikea.com/sa/en/p/lisabo-side-table-ash-veneer-10297656/,295.0
260,https://www.ikea.com/sa/en/p/taernoe-table-2-chairs-outdoor-black-acacia-grey-brown-stained-steel-light-brown-stained-s69898415/,199.0
261,https://www.ikea.com/sa/en/p/rothult-smart-lock-white-00359739/,95.0
262,https://www.ikea.com/sa/en/p/sundvik-cot-white-00248567/,695.0
263,https://www.ikea.com/sa/en/p/billsbro-handle-white-50334303/,25.0
264,https://www.ikea.com/sa/en/p/ekedalen-ekedalen-table-and-6-chairs-brown-orrsta-light-grey-s19221450/,2345.0
265,https://www.ikea.com/sa/en/p/bror-trolley-black-pine-plywood-60333850/,495.0
266,https://www.ikea.com/sa/en/p/lubban-trolley-table-with-storage-rattan-anthracite-50434307/,275.0
267,https://www.ikea.com/sa/en/p/lycksele-murbo-mattress-80102066/,695.0
268,https://www.ikea.com/sa/en/p/langfjaell-office-chair-with-armrests-gunnared-light-brown-pink-black-s39261874/,795.0
269,https://www.ikea.com/sa/en/p/ivar-shelf-pine-30318163/,35.0
270,https://www.ikea.com/sa/en/p/hemnes-glass-top-transparent-00430019/,70.0
271,https://www.ikea.com/sa/en/p/lycksele-havet-mattress-60102067/,795.0
272,https://www.ikea.com/sa/en/p/norraker-table-birch-30428982/,596.0
273,https://www.ikea.com/sa/en/p/froesoen-duvholmen-back-cushion-outdoor-dark-grey-s69253108/,88.0
274,https://www.ikea.com/sa/en/p/melltorp-nilsove-table-and-2-chairs-white-rattan-white-s29297294/,889.0
275,https://www.ikea.com/sa/en/p/moeckelby-fanbyn-table-and-6-chairs-oak-white-s19277036/,4145.0
276,https://www.ikea.com/sa/en/p/kallviken-door-dark-grey-concrete-effect-10364523/,170.0
277,https://www.ikea.com/sa/en/p/adils-leg-white-90217972/,15.0
278,https://www.ikea.com/sa/en/p/eket-glass-door-clear-glass-30428901/,45.0
279,https://www.ikea.com/sa/en/p/tosteroe-storage-bag-for-cushions-black-20292328/,103.0
280,https://www.ikea.com/sa/en/p/justina-chair-pad-natural-90175000/,19.0
281,https://www.ikea.com/sa/en/p/billsbro-handle-stainless-steel-colour-70323600/,19.0
282,https://www.ikea.com/sa/en/p/dalfred-bar-stool-black-60155602/,195.0
283,https://www.ikea.com/sa/en/p/trofast-shelf-light-white-stained-pine-pine-80308699/,55.0
284,https://www.ikea.com/sa/en/p/stensele-bar-table-anthracite-anthracite-s09288224/,550.0
285,https://www.ikea.com/sa/en/p/kallviken-drawer-front-dark-grey-concrete-effect-30425988/,95.0
286,https://www.ikea.com/sa/en/p/besta-top-panel-for-tv-glass-black-80295300/,100.0
287,https://www.ikea.com/sa/en/p/trofast-storage-box-white-80089239/,10.0
288,https://www.ikea.com/sa/en/p/trofast-shelf-white-90091454/,30.0
