,item_id,name,category,link,price
808,90483268,VIHALS,Cabinets & cupboards,https://www.ikea.com/sa/en/p/vihals-storage-unit-white-90483268/,SR875
809,50383483,NORDLI,Chests of drawers & drawer units,https://www.ikea.com/sa/en/p/nordli-top-and-plinth-white-50383483/,SR250
810,50357785,UTTER,Outdoor furniture,https://www.ikea.com/sa/en/p/utter-childrens-stool-in-outdoor-white-50357785/,SR30
811,20547363,HYLTARP,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/hyltarp-cover-f-3-seat-sofa-w-ch-lng-right-gransel-natural-20547363/,SR995
812,20472372,EKTORP,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/ektorp-cover-for-3-seat-sofa-virestad-red-white-20472372/,SR745
813,20541610,GLADHÖJDEN,Tables & desks,https://www.ikea.com/sa/en/p/gladhoejden-desk-sit-stand-light-grey-anthracite-20541610/,"SR1,295"
814,90508551,HOLMSTA,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/holmsta-armchair-handmade-beige-90508551/,SR845
815,397048,GRÖNLID,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/groenlid-cover-for-corner-section-ljungen-light-green-00397048/,SR400
816,70294339,LISABO,Dining furniture,https://www.ikea.com/sa/en/p/lisabo-table-ash-veneer-70294339/,SR945
817,554057,KURA,Beds,https://www.ikea.com/sa/en/p/kura-bed-tent-space-blue-00554057/,SR195
818,50263838,BILLY,Bookcases & shelving units,https://www.ikea.com/sa/en/p/billy-bookcase-white-50263838/,SR289
819,40507610,MATCHSPEL,Gaming furniture,https://www.ikea.com/sa/en/p/matchspel-gaming-chair-bomstad-white-40507610/,SR995
820,80487870,IDANÄS,Tables & desks,https://www.ikea.com/sa/en/p/idanaes-coffee-table-dark-brown-stained-80487870/,SR999
821,275848,KALLAX,Bookcases & shelving units,https://www.ikea.com/sa/en/p/kallax-shelving-unit-white-00275848/,SR329
822,70439573,SYVDE,Wardrobes,https://www.ikea.com/sa/en/p/syvde-open-wardrobe-white-70439573/,SR645
823,70152702,TJUSIG,Chairs,https://www.ikea.com/sa/en/p/tjusig-bench-with-shoe-storage-white-70152702/,SR445
824,10453086,PLATSA,Cabinets & cupboards,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-storage-white-10453086/,"SR1,495"
825,40474841,TROTTEN,Tables & desks,https://www.ikea.com/sa/en/p/trotten-drawer-unit-anthracite-40474841/,SR245
826,80227797,BYÅS,TV & media furniture,https://www.ikea.com/sa/en/p/byas-tv-bench-high-gloss-white-80227797/,SR595
827,10395421,TJENA,Cabinets & cupboards,https://www.ikea.com/sa/en/p/tjena-storage-box-with-lid-white-10395421/,SR12
828,20395270,ODGER,Dining furniture,https://www.ikea.com/sa/en/p/odger-swivel-chair-anthracite-20395270/,SR645
829,70487229,LINNEBÄCK,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/linnebaeck-easy-chair-orrsta-light-grey-70487229/,SR295
830,40424592,SOLLERÖN,Outdoor furniture,https://www.ikea.com/sa/en/p/solleroen-coffee-table-outdoor-anthracite-dark-grey-40424592/,SR445
831,40474761,TROTTEN,Cabinets & cupboards,https://www.ikea.com/sa/en/p/trotten-cabinet-with-sliding-doors-white-40474761/,SR695
832,20545359,ÖSTANÖ,Dining furniture,https://www.ikea.com/sa/en/p/oestanoe-chair-black-remmarn-dark-grey-20545359/,SR79
833,70367444,SONGESAND,Chests of drawers & drawer units,https://www.ikea.com/sa/en/p/songesand-bedside-table-brown-70367444/,SR225
834,20472616,VRETSTORP,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/vretstorp-cover-for-3-seat-sofa-bed-hallarp-beige-20472616/,"SR1,195"
835,10493803,PÄRUP,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/paerup-cover-for-2-seat-sofa-gunnared-dark-grey-10493803/,SR695
836,90437238,KLEPPSTAD,Wardrobes,https://www.ikea.com/sa/en/p/kleppstad-wardrobe-with-sliding-doors-white-90437238/,SR899
837,50363729,HÄLLAN,Cabinets & cupboards,https://www.ikea.com/sa/en/p/haellan-cabinet-white-50363729/,SR324
838,404812,MALM,Beds,https://www.ikea.com/sa/en/p/malm-ottoman-bed-white-00404812/,"SR2,895"
839,471222,VESKEN,Trolleys,https://www.ikea.com/sa/en/p/vesken-trolley-white-00471222/,SR49
840,60401127,TROXHULT,Bookcases & shelving units,https://www.ikea.com/sa/en/p/troxhult-wall-shelf-white-60401127/,SR149
841,492677,KLEPPSTAD,Beds,https://www.ikea.com/sa/en/p/kleppstad-bed-frame-white-vissle-beige-00492677/,SR675
842,211088,STEFAN,Dining furniture,https://www.ikea.com/sa/en/p/stefan-chair-brown-black-00211088/,SR129
843,70335486,FJÄLLBO,Tables & desks,https://www.ikea.com/sa/en/p/fjaellbo-coffee-table-black-70335486/,SR399
844,80469116,JUTHOLMEN,Outdoor furniture,https://www.ikea.com/sa/en/p/jutholmen-corner-section-outdoor-dark-grey-brown-80469116/,SR415
845,50250713,MICKE,Tables & desks,https://www.ikea.com/sa/en/p/micke-corner-workstation-white-50250713/,SR899
846,40528448,KURA,Beds,https://www.ikea.com/sa/en/p/kura-bed-tent-ocean-animals-pattern-40528448/,SR195
847,10373495,BEKANT,Tables & desks,https://www.ikea.com/sa/en/p/bekant-shelving-unit-black-10373495/,"SR2,195"
848,50465351,VIMLE,Sofas,https://www.ikea.com/sa/en/p/vimle-3-seat-section-grann-bomstad-black-50465351/,"SR4,445"
849,10429888,TOMMARYD,Dining furniture,https://www.ikea.com/sa/en/p/tommaryd-underframe-anthracite-10429888/,SR500
850,70305700,BUSUNGE,Beds,https://www.ikea.com/sa/en/p/busunge-extendable-bed-white-70305700/,"SR1,095"
851,20516130,DANDERYD,Dining furniture,https://www.ikea.com/sa/en/p/danderyd-dining-table-oak-veneer-white-20516130/,"SR1,499"
852,50413507,HEMNES,Bookcases & shelving units,https://www.ikea.com/sa/en/p/hemnes-glass-door-cabinet-with-3-drawers-white-stain-light-brown-50413507/,"SR1,945"
853,20334597,EKET,Cabinets & cupboards,https://www.ikea.com/sa/en/p/eket-cabinet-light-grey-20334597/,SR139
854,10551322,RUNMARÖ,Bookcases & shelving units,https://www.ikea.com/sa/en/p/runmaroe-shelving-unit-dark-grey-indoor-outdoor-10551322/,SR425
855,80485338,PERJOHAN,Dining furniture,https://www.ikea.com/sa/en/p/perjohan-stool-with-storage-pine-80485338/,SR149
856,70214192,MALM,Tables & desks,https://www.ikea.com/sa/en/p/malm-desk-with-pull-out-panel-white-70214192/,SR945
857,60245844,BESTÅ,Cabinets & cupboards,https://www.ikea.com/sa/en/p/besta-frame-white-60245844/,SR300
858,80388587,STRANDTORP,Dining furniture,https://www.ikea.com/sa/en/p/strandtorp-extendable-table-brown-80388587/,"SR2,199"
859,10507616,UTESPELARE,Gaming furniture,https://www.ikea.com/sa/en/p/utespelare-gaming-chair-bomstad-black-10507616/,SR595
860,10512651,TOLKNING,Beds,https://www.ikea.com/sa/en/p/tolkning-basket-handmade-rattan-10512651/,SR149
861,80496025,IDANÄS,"Sideboards, buffets & console tables",https://www.ikea.com/sa/en/p/idanaes-sideboard-white-80496025/,"SR1,795"
862,60282186,LACK,Bookcases & shelving units,https://www.ikea.com/sa/en/p/lack-wall-shelf-unit-white-60282186/,SR379
863,60556322,ÖJULF,Tables & desks,https://www.ikea.com/sa/en/p/oejulf-laptop-support-dark-grey-60556322/,SR99
864,20299829,KRAGSTA,Tables & desks,https://www.ikea.com/sa/en/p/kragsta-nest-of-tables-set-of-2-white-20299829/,SR599
865,60485339,PERJOHAN,Dining furniture,https://www.ikea.com/sa/en/p/perjohan-bench-with-storage-pine-60485339/,SR295
866,70290360,SKUBB,Beds,https://www.ikea.com/sa/en/p/skubb-storage-case-white-70290360/,SR69
867,70388620,HAVSTA,Dining furniture,https://www.ikea.com/sa/en/p/havsta-cabinet-with-plinth-white-70388620/,"SR1,545"
868,70483274,VIHALS,Bookcases & shelving units,https://www.ikea.com/sa/en/p/vihals-shelving-unit-with-10-shelves-white-70483274/,SR825
869,70530949,TÄRNÖ,Outdoor furniture,https://www.ikea.com/sa/en/p/taernoe-chair-outdoor-foldable-white-green-70530949/,SR75
870,330982,HJÄLPA,Cabinets & cupboards,https://www.ikea.com/sa/en/p/hjaelpa-drawer-without-front-white-00330982/,SR100
871,20546877,KLINTEN,Dining furniture,https://www.ikea.com/sa/en/p/klinten-chair-brown-kilanda-pale-blue-20546877/,SR325
872,60431563,FRIHETEN,Beds,https://www.ikea.com/sa/en/p/friheten-3-seat-sofa-bed-skiftebo-blue-60431563/,"SR2,995"
873,50410354,GRÅVAL,Dining furniture,https://www.ikea.com/sa/en/p/graval-junior-chair-50410354/,SR550
874,80297021,HEMNES,TV & media furniture,https://www.ikea.com/sa/en/p/hemnes-tv-bench-white-stain-80297021/,"SR1,245"
875,30326177,LENNART,Chests of drawers & drawer units,https://www.ikea.com/sa/en/p/lennart-drawer-unit-white-30326177/,SR79
876,40415050,HAUGA,Cabinets & cupboards,https://www.ikea.com/sa/en/p/hauga-cabinet-with-2-doors-grey-40415050/,SR845
877,70489394,MILLBERGET,Chairs,https://www.ikea.com/sa/en/p/millberget-swivel-chair-murum-black-70489394/,SR499
878,60458944,IDANÄS,Beds,https://www.ikea.com/sa/en/p/idanaes-upholstered-bed-frame-gunnared-pale-pink-60458944/,"SR1,495"
879,20488900,IVAR,Cabinets & cupboards,https://www.ikea.com/sa/en/p/ivar-drawer-pine-20488900/,SR120
880,90566744,KRYLBO,Dining furniture,https://www.ikea.com/sa/en/p/krylbo-chair-tonerud-blue-90566744/,SR225
